用户位置	车流方向	当前时间打到车的概率	平均等待时间(分钟)	运行时间(秒)
(116.4037163, 39.89166656)	自西向东	2013/9/15 9:36:00	0.74	2.25	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/15 9:41:00	0.49	4.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/10 16:35:00	0.09	33.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/10 16:40:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/10 16:45:00	0.03	99.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/10 16:50:00	0.03	99.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/10 16:55:00	0.02	198.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/11 12:30:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/11 12:35:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/11 12:40:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/11 12:45:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/11 12:50:00	0.06	49.50	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/12 6:45:00	0.02	198.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/12 6:50:00	0.02	198.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/12 6:55:00	0.02	198.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/12 7:00:00	0.02	198.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/12 7:05:00	0.03	99.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/15 19:40:00	0.00	-1.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/15 19:45:00	0.28	9.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/15 19:50:00	0.28	9.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/15 19:55:00	0.00	-1.00	0.000
(116.4792503, 39.89149594)	自西向东	2013/9/15 20:00:00	0.00	-1.00	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/10 18:07:00	0.81	1.83	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/10 18:12:00	0.76	2.13	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/10 18:17:00	0.74	2.25	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/10 18:22:00	0.76	2.08	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/10 18:27:00	0.84	1.65	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/11 14:04:00	0.75	2.15	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/11 14:09:00	0.80	1.85	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/11 14:14:00	0.81	1.80	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/11 14:19:00	0.72	2.33	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/11 14:24:00	0.76	2.08	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/12 8:10:00	0.57	3.60	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/12 8:15:00	0.52	4.12	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/12 8:20:00	0.53	3.96	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/12 8:25:00	0.54	3.88	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/12 8:30:00	0.49	4.40	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/15 21:02:00	0.63	3.00	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/15 21:07:00	0.00	-1.00	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/15 21:12:00	0.00	-1.00	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/15 21:17:00	0.28	9.00	0.000
(116.4703539, 39.91469681)	自西向东	2013/9/15 21:22:00	0.28	9.00	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/10 17:20:00	0.51	4.21	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/10 17:25:00	0.57	3.54	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/10 17:30:00	0.45	5.08	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/10 17:35:00	0.35	7.07	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/10 17:40:00	0.32	7.92	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/11 13:20:00	0.49	4.40	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/11 13:25:00	0.50	4.30	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/11 13:30:00	0.58	3.41	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/11 13:35:00	0.55	3.81	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/11 13:40:00	0.47	4.71	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/12 7:30:00	0.24	11.00	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/12 7:35:00	0.27	9.43	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/12 7:40:00	0.42	5.50	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/12 7:45:00	0.33	7.62	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/12 7:50:00	0.32	7.92	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/15 20:27:00	0.49	4.50	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/15 20:32:00	0.28	9.00	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/15 20:37:00	0.28	9.00	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/15 20:42:00	0.00	-1.00	0.000
(116.4673544, 39.91478689)	自西向东	2013/9/15 20:47:00	0.28	9.00	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/9 16:34:00	0.96	0.91	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/9 16:39:00	0.97	0.88	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/9 16:44:00	0.97	0.88	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/9 16:49:00	0.96	0.91	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/9 16:54:00	0.96	0.93	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/10 20:03:00	0.94	1.06	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/10 20:08:00	0.93	1.12	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/10 20:13:00	0.93	1.10	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/10 20:18:00	0.93	1.11	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/10 20:23:00	0.92	1.20	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/11 17:30:00	0.94	1.08	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/11 17:35:00	0.94	1.06	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/11 17:40:00	0.94	1.06	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/11 17:45:00	0.94	1.08	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/11 17:50:00	0.93	1.15	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/13 7:27:00	0.76	2.08	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/13 7:32:00	0.77	2.04	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/13 7:37:00	0.82	1.74	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/13 7:42:00	0.88	1.42	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/13 7:47:00	0.85	1.56	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/15 8:47:00	0.49	4.50	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/15 8:52:00	0.28	9.00	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/15 8:57:00	0.49	4.50	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/15 9:02:00	0.28	9.00	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/15 9:07:00	0.63	3.00	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/14 16:02:00	0.95	0.97	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/14 16:07:00	0.95	0.97	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/14 16:12:00	0.90	1.29	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/14 16:17:00	0.90	1.29	0.000
(116.4536227, 39.90718117)	自东向西	2013/9/14 16:22:00	0.95	0.97	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 15:00:00	0.63	3.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 15:05:00	0.61	3.19	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 15:10:00	0.66	2.75	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 15:15:00	0.62	3.14	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 15:20:00	0.63	3.05	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 18:25:00	0.29	8.61	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 18:30:00	0.43	5.35	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 18:35:00	0.48	4.60	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 18:40:00	0.38	6.19	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/10 18:45:00	0.43	5.35	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/11 9:50:00	0.49	4.40	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/11 9:55:00	0.59	3.36	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/11 10:00:00	0.67	2.71	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/11 10:05:00	0.65	2.87	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/11 10:10:00	0.53	3.96	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/14 12:40:00	0.76	2.12	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/14 12:45:00	0.78	2.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/14 12:50:00	0.79	1.89	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/14 12:55:00	0.76	2.12	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/14 13:00:00	0.69	2.57	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/15 11:47:00	0.28	9.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/15 11:52:00	0.00	-1.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/15 11:57:00	0.00	-1.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/15 12:02:00	0.00	-1.00	0.000
(116.3981186, 39.89092442)	自西向东	2013/9/15 12:07:00	0.49	4.50	0.000
